"","datetime","cap","return","logreturn","volatility.30d","volatility.90d","currency_slug"
"96",2014-07-21,615.17054,0.00790218738683701,0.00787112861826601,1.21292764578803,4.3634871824677,"BTC"
"97",2014-07-24,610,-0.0084050513862383,-0.00844057301140479,1.21425278102031,4.36371129408239,"BTC"
"98",2014-07-27,593.8005,-0.0265565573770491,-0.0269155528036969,1.2200189868041,4.35887480347146,"BTC"
"99",2014-07-30,574.57864,-0.0323709057166508,-0.032906432195472,1.15993595840869,4.35911888865887,"BTC"
"100",2014-08-02,566.75121,-0.0136229046036239,-0.0137165478026787,1.1599422586011,4.35701871363557,"BTC"
"101",2014-08-05,578.85629,0.0213587192870747,0.0211338186001704,1.16067907516199,4.35689532672521,"BTC"
"102",2014-08-08,577.23864,-0.00279456236020155,-0.00279847443966064,1.15553920341376,4.35335038931699,"BTC"
"103",2014-08-11,578.13503,0.00155289327131669,0.00155168877936437,1.15509548879515,4.32295481292226,"BTC"
"104",2014-08-14,531.63618,-0.0804290478644756,-0.083848074091436,1.19852569794082,4.31947581475329,"BTC"
"105",2014-08-17,500,-0.059507199077384,-0.0613512847917557,1.22093105560307,4.30967864730387,"BTC"
"106",2014-08-20,455,-0.09,-0.0943106794712413,1.26521798447702,3.63760953120618,"BTC"
"107",2014-08-23,477,0.0483516483516484,0.0472190719373908,1.27497048811312,2.55847004877885,"BTC"
"108",2014-08-26,482.27458,0.011057819706499,0.0109971290128051,1.23231621879735,2.36421474803855,"BTC"
"109",2014-08-29,495.08275,0.0265578376533965,0.0262113004130812,1.21154785431513,2.3623247423879,"BTC"
"110",2014-09-01,490.5,-0.00925653337750099,-0.00929964130880977,1.1888698205055,2.36230240757442,"BTC"
"111",2014-09-04,490.01,-0.000998980632008173,-0.000999479945723955,1.1618859171188,2.32338880661573,"BTC"
"112",2014-09-07,475.00081,-0.0306303748903083,-0.0311092897633486,1.06612529902536,2.14090400551305,"BTC"
"113",2014-09-10,465.00143,-0.0210512904177994,-0.0212760284449002,0.809152794447687,2.12928633076277,"BTC"
"114",2014-09-13,475,0.0215022349501161,0.0212743231831963,0.813025506035673,2.08874097837797,"BTC"
"115",2014-09-16,465.00781,-0.0210361894736842,-0.0212606028894064,0.693118735114489,2.0465318561087,"BTC"
"116",2014-09-19,400,-0.139799393906954,-0.150589654037253,0.854225797239213,1.74115425154399,"BTC"
"117",2014-09-22,375.93621,-0.060159475,-0.0620450723663177,0.812113728136662,1.46973798113731,"BTC"
"118",2014-09-25,295,-0.21529240293187,-0.242444118401845,1.12559817842457,1.54072150049768,"BTC"
"119",2014-09-28,397,0.345762711864407,0.296960924347371,1.56653807010973,1.65165896705992,"BTC"
"120",2014-10-01,370.00545,-0.0679963476070529,-0.0704185454276719,1.57191529996033,1.65185169279518,"BTC"
"121",2014-10-04,355,-0.040554672910899,-0.0413999457841026,1.56939489160661,1.65146508489365,"BTC"
"122",2014-10-07,273.32564,-0.23006861971831,-0.261453884622806,1.76139832898477,1.7216892728266,"BTC"
"123",2014-10-10,315.06119,0.152695334400388,0.142102969076418,1.85303209624385,1.74867395260065,"BTC"
"124",2014-10-13,352.83413,0.119890805973278,0.113231185887373,1.90900155938335,1.7636879278269,"BTC"
"125",2014-10-16,370.10021,0.0489354020258754,0.0477757469897608,1.92071627272965,1.76733485233451,"BTC"
"126",2014-10-19,371.00373,0.00244128475366176,0.00243830965908901,1.92178707892193,1.76727785401872,"BTC"
"127",2014-10-22,371.00001,-1.00268533689511e-05,-1.00269036381577e-05,1.92078311790618,1.76474774180555,"BTC"
"128",2014-10-25,355,-0.0431267104278514,-0.0440843000861968,1.92289853239055,1.76462406073752,"BTC"
"129",2014-10-28,355,0,0,1.92350653535727,1.76468362907778,"BTC"
